AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.42,0.16,5.44,0.39,-0.04,-0.16,1723211782199,cobblestone
-0.8,1.11,6.07,-0.04,0.28,-0.17,1723211782209,cobblestone
0.07,1.43,10.81,-0.27,0.31,-0.18,1723211782218,cobblestone
-0.72,-1.51,12.54,-0.1,0.37,-0.24,1723211782227,cobblestone
-1.09,0.18,12.48,0.04,0.22,-0.31,1723211782236,cobblestone
-1.98,-0.56,12.45,0.14,0.21,-0.35,1723211782245,cobblestone
-2.1,-0.12,10.46,0.17,0.21,-0.2,1723211782254,cobblestone
-1.14,3.18,10.43,0.14,0.28,-0.09,1723211782263,cobblestone
-0.63,-0.63,8.91,0.1,0.2,0.0,1723211782272,cobblestone
0.51,0.92,9.31,-0.05,0.36,-0.1,1723211782281,cobblestone
0.84,0.66,9.55,-0.04,0.24,-0.13,1723211782290,cobblestone
0.53,-0.82,7.73,0.17,0.32,-0.18,1723211782299,cobblestone
0.37,2.0,4.61,0.25,0.19,-0.13,1723211782308,cobblestone
1.01,-3.07,5.24,-0.11,0.24,-0.27,1723211782317,cobblestone
0.39,1.22,6.84,-0.48,0.35,-0.24,1723211782326,cobblestone
-0.62,-4.9,13.81,-0.55,0.29,-0.2,1723211782335,cobblestone
-1.39,-5.69,18.54,-0.42,0.43,-0.18,1723211782344,cobblestone
-1.68,-0.46,17.8,0.38,0.15,-0.11,1723211782353,cobblestone
-0.89,-0.8,9.54,0.78,0.06,-0.08,1723211782362,cobblestone
-0.83,2.49,2.41,0.38,0.23,-0.03,1723211782371,cobblestone
0.94,-1.7,5.28,-0.23,0.33,-0.03,1723211782380,cobblestone
-1.68,3.6,8.55,-0.48,0.39,-0.12,1723211782389,cobblestone
0.24,-4.07,16.5,-0.5,0.14,-0.19,1723211782398,cobblestone
-2.28,-3.39,17.78,-0.17,0.28,-0.16,1723211782407,cobblestone
-1.48,1.08,14.23,0.37,0.1,0.02,1723211782416,cobblestone
-0.27,-1.92,6.77,0.4,0.15,0.06,1723211782425,cobblestone
-0.44,1.88,3.96,0.1,0.26,0.04,1723211782434,cobblestone
0.08,-1.67,6.74,-0.27,0.3,-0.0,1723211782443,cobblestone
-0.48,-3.79,10.85,-0.49,0.34,-0.01,1723211782452,cobblestone
0.07,0.4,16.17,-0.33,0.36,0.0,1723211782461,cobblestone
-1.75,-3.92,16.51,0.16,0.24,-0.1,1723211782470,cobblestone
-2.06,2.11,13.28,0.57,0.1,-0.04,1723211782479,cobblestone
-2.62,-1.14,6.37,0.49,-0.02,0.1,1723211782488,cobblestone
-1.3,-0.85,4.88,0.14,0.26,0.16,1723211782497,cobblestone
-1.34,-0.34,6.45,-0.1,0.2,0.23,1723211782506,cobblestone
-0.63,-1.34,9.71,-0.05,0.19,0.21,1723211782515,cobblestone
-0.73,4.57,12.25,0.1,0.19,0.21,1723211782524,cobblestone
-1.41,-2.0,10.58,0.26,0.02,0.11,1723211782533,cobblestone
-1.25,5.62,8.81,0.1,0.27,0.14,1723211782542,cobblestone
-1.47,-1.36,8.63,0.1,-0.12,0.17,1723211782551,cobblestone
